SAMPLE,AUTHOR,GROUP,RIVER,SITE,VEL,DEPTH,SUB,unassigned,Acroloxidae,Aeshnidae,Ameletidae,Ancylidae,Anthomyiidae,Apataniidae,Aphelocheiridae,Asellidae,Astacidae,Athericidae,Baetidae,Beraeidae,Bithyniidae,Blephariceridae,Brachycentridae,Caenidae,Calamoceratidae,Calopterygidae,Cambaridae,Ceratopogonidae,Chironomidae,Chloroperlidae,Coenagrionidae,Corbiculidae,Cordulegastridae,Corixidae,Crambidae,Culicidae,Curculionidae,Dendrocoelidae,Dixidae,Dolichopodidae,Dreissenidae,Dryopidae,Dugesiidae,Dytiscidae,Ecnomidae,Elmidae,Empididae,Enchytraeidae,Ephemerellidae,Ephemeridae,Ephydridae,Erpobdellidae,Gammaridae,Gerridae,Glossiphoniidae,Glossosomatidae,Goeridae,Gomphidae,Gyrinidae,Haemopidae,Haliplidae,Haplotaxidae,Helophoridae,Heptageniidae,Hirudinidae,Hydrachnidae,Hydraenidae,Hydridae,Hydrobiidae,Hydrochidae,Hydrometridae,Hydrophilidae,Hydropsychidae,Hydroptilidae,Ichneumonidae,Lepidostomatidae,Leptoceridae,Leptophlebiidae,Lestidae,Leuctridae,Libellulidae,Limnephilidae,Limoniidae,Lumbricidae,Lumbriculidae,Lymnaeidae,Melanopsidae,Mesoveliidae,Muscidae,Naididae,Nemouridae,Nepidae,Neritidae,Odontoceridae,Oligoneuriidae,Pediciidae,Perlidae,Perlodidae,Philopotamidae,Phryganeidae,Physidae,Piscicolidae,Planariidae,Planorbidae,Platycnemididae,Polycentropodidae,Potamanthidae,Prosopistomatidae,Psephenidae,Psychodidae,Psychomyiidae,Ptilocolepidae,Pyralidae,Rhagionidae,Rhyacophilidae,Sciomyzidae,Scirtidae,Sericostomatidae,Sialidae,Simuliidae,Siphlonuridae,Sphaeriidae,Stratiomyidae,Tabanidae,Taeniopterygidae,Thaumaleidae,Tipulidae,Tubificidae,Valvatidae,Veliidae,Viviparidae,RICHNESS,EPT,EPT_prop,EPT_abu,OCH,OCH_prop,OCH_abu,EPT_EPTOCH,ABUNDANCE,SHANNON,ASPT,LIFE,FUN_RICHNESS_ALL,FUN_DIVERSITY_ALL,FUN_RICHNESS_ECO,FUN_DIVERSITY_ECO,FUN_RICHNESS_BIO,FUN_DIVERSITY_BIO
Alex_OGL_diciotto_141,Alex,OGL,OGL,OGL_diciotto,0.36576,0.17,Medium,4,0,0,0,0,0,0,0,1,0,0,143,0,0,0,0,15,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,2,0,0,2,0,0,1,0,0,11,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,18,9,0.615979381,239,1,0.020618557,8,0.9,2.589949601,1.856472866,5.75,7.466666667,0.0012,0.3742,0.0029,0.4426,0.0004,0.3656
Alex_OGL_diciotto_142,Alex,OGL,OGL,OGL_diciotto,0.82296,0.39,Coarse,4,0,0,0,0,0,0,2,0,0,0,80,0,1,0,0,1,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,39,0,0,0,0,0,0,0,0,3,0,0,20,7,0.646258503,190,0,0.006802721,2,1,2.469822016,1.732281842,5.333333333,7.3125,0.0014,0.3387,0.0048,0.3946,0.0007,0.3457
Alex_OGL_diciotto_143,Alex,OGL,OGL,OGL_diciotto,1.00584,0.65,Medium,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,4,0.714285714,45,0,0,0,1,1.806179974,1.57652052,5.166666667,8.2,0.0000,0.3023,0.0000,0.3412,0.0000,0.3538
Alex_OGL_diciotto_144,Alex,OGL,OGL,OGL_diciotto,1.2192,0.48,Medium,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,6,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,11,5,0.452,113,1,0.012,3,0.833333333,2.399673721,1.622508838,5.222222222,7.666666667,0.0000,0.3169,0.0000,0.3576,0.0000,0.3490
Alex_OGL_diciotto_145,Alex,OGL,OGL,OGL_diciotto,1.09728,0.35,Coarse,3,0,0,0,0,0,0,0,3,0,0,28,0,0,0,0,18,0,0,0,0,91,0,0,2,0,0,0,0,0,0,0,0,12,0,1,0,0,19,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,16,7,0.48757764,157,1,0.059006211,19,0.875,2.509202522,1.933549313,5.615384615,7.615384615,0.0010,0.4152,0.0011,0.4595,0.0010,0.4258
Alex_OGL_diciotto_146,Alex,OGL,OGL,OGL_diciotto,1.18872,0.33,Medium,2,0,0,0,0,0,0,0,4,0,0,61,0,8,0,0,19,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,16,5,0.56133829,151,1,0.040892193,11,0.833333333,2.431363764,2.13208689,4.666666667,7.461538462,0.0008,0.4347,0.0012,0.5041,0.0002,0.4203
Alex_OGL_diciotto_147,Alex,OGL,OGL,OGL_diciotto,1.09728,0.48,Medium,1,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,10,0,0,0,0,103,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,42,0,1,0,0,0,0,0,0,1,0,0,15,7,0.458745875,139,1,0.0330033,10,0.875,2.482873584,1.781751385,5.142857143,7.75,0.0003,0.3537,0.0010,0.3970,0.0002,0.3788
Alex_OGL_diciotto_148,Alex,OGL,OGL,OGL_diciotto,1.18872,0.5,Coarse,2,0,0,0,0,0,0,0,1,0,0,56,0,1,0,0,22,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,18,6,0.613821138,151,1,0.052845528,13,0.857142857,2.392696953,2.015953154,4.846153846,7.285714286,0.0012,0.4094,0.0034,0.4791,0.0006,0.3984
Alex_OGL_diciotto_149,Alex,OGL,OGL,OGL_diciotto,0.33528,0.3,Medium,8,0,0,0,0,0,0,0,2,0,0,35,0,0,0,0,13,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,9,0,0,2,0,0,1,0,0,5,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,17,9,0.418918919,124,1,0.013513514,4,0.9,2.472756449,1.915513819,5.733333333,7.538461538,0.0010,0.3817,0.0030,0.4365,0.0002,0.3847
Alex_OGL_diciotto_150,Alex,OGL,OGL,OGL_diciotto,0.24384,0.28,Medium,10,0,0,0,0,0,0,0,0,0,0,38,0,1,0,0,6,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,5,0.456647399,79,0,0,0,1,2.240549248,1.825384998,4.888888889,7.375,0.0000,0.3822,0.0001,0.4463,0.0000,0.3802
Alex_OGL_diciotto_181,Alex,OGL,OGL,OGL_diciotto,0.48768,0.23,Medium,1,0,0,0,0,0,0,0,4,0,0,75,0,2,0,0,8,0,0,0,0,60,0,0,1,0,0,0,0,0,0,0,0,2,0,7,0,0,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,2,0,0,3,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,19,8,0.728813559,258,1,0.025423729,9,0.888888889,2.550228353,1.783102689,5.857142857,7.333333333,0.0018,0.3574,0.0044,0.4139,0.0013,0.3638
Alex_OGL_diciotto_182,Alex,OGL,OGL,OGL_diciotto,0.762,0.44,Medium,1,0,0,0,0,0,0,0,9,0,0,34,0,2,0,0,38,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,17,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,143,0,0,6,3,0,0,3,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,24,10,0.700288184,243,1,0.048991354,17,0.909090909,2.541579244,2.094606075,5.894736842,7.45,0.0108,0.4360,0.0232,0.5051,0.0035,0.4080
Alex_OGL_diciotto_183,Alex,OGL,OGL,OGL_diciotto,1.12776,0.6,Medium,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,7,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,12,6,0.366013072,56,1,0.019607843,3,0.857142857,2.187520721,1.727496159,5.5,7.5,0.0000,0.3261,0.0001,0.3630,0.0000,0.3563
Alex_OGL_diciotto_184,Alex,OGL,OGL,OGL_diciotto,1.2192,0.57,Medium,1,0,0,0,0,0,0,0,1,0,0,34,0,0,0,0,10,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,15,6,0.443526171,161,1,0.05785124,21,0.857142857,2.561101384,1.736986123,5.25,7.75,0.0010,0.3608,0.0012,0.4058,0.0004,0.3777
Alex_OGL_diciotto_185,Alex,OGL,OGL,OGL_diciotto,0.88392,0.58,Medium,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,7,5,0.315315315,105,0,0,0,1,2.523746467,1.394130845,5.714285714,8.666666667,0.0000,0.2582,0.0000,0.2879,0.0000,0.3074
Alex_OGL_diciotto_186,Alex,OGL,OGL,OGL_diciotto,1.00584,0.55,Medium,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,13,7,0.317647059,54,1,0.035294118,6,0.875,2.23299611,1.721857285,5.909090909,7.818181818,0.0001,0.3474,0.0000,0.3839,0.0001,0.3744
Alex_OGL_diciotto_187,Alex,OGL,OGL,OGL_diciotto,1.12776,0.59,Medium,2,0,0,0,0,0,0,0,1,0,0,5,0,2,0,0,12,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,17,7,0.34562212,75,1,0.069124424,15,0.875,2.338456494,1.863406826,5.076923077,7.230769231,0.0005,0.4080,0.0016,0.4457,0.0005,0.4167
Alex_OGL_diciotto_188,Alex,OGL,OGL,OGL_diciotto,1.03632,0.61,Medium,1,0,0,0,0,0,0,0,10,0,0,25,0,2,0,0,7,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,14,5,0.404,101,1,0.068,17,0.833333333,2.399673721,2.003295716,4.545454545,7.416666667,0.0004,0.4279,0.0006,0.4746,0.0001,0.4363
Alex_OGL_diciotto_189,Alex,OGL,OGL,OGL_diciotto,0.24384,0.37,Coarse,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0.324324324,24,0,0,0,1,1.875061263,1.230854575,5.125,7.142857143,0.0000,0.2498,0.0000,0.2686,0.0000,0.2939
Alex_OGL_diciotto_190,Alex,OGL,OGL,OGL_diciotto,0.12192,0.36,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,4,0.211267606,15,0,0,0,1,1.857332496,1.118047271,5.285714286,7.333333333,0.0000,0.2365,0.0000,0.2590,0.0000,0.2560
Alex_OGL_diciotto_21,Alex,OGL,OGL,OGL_diciotto,0.03048,0.22,Medium,11,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,54,0,0,0,0,855,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,4,0,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,8,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,0.081055608,86,1,0.009425071,10,0.875,3.026124517,0.876846278,5.285714286,7.307692308,0.0039,0.2307,0.0081,0.2427,0.0013,0.2297
